id,ident,type,name,elevation_ft,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
396,06LA,heliport,Panther Helicopters Inc Heliport,0,US,US-LA,Belle Chasse,06LA,0,06LA,"-90.02780151367188, 29.84600067138672"
397,06LL,closed,Hammersmith Heliport,812,US,US-IL,Elburn,0,0,0,"-88.496901, 41.8736"
398,06LS,heliport,Tembec Heliport,85,US,US-LA,St Francisville,06LS,0,06LS,"-91.32019805908203, 30.70789909362793"
399,06MA,heliport,The Barn Heliport,210,US,US-MA,Pepperell,06MA,0,06MA,"-71.60900115966797, 42.69060134887695"
400,06MD,heliport,Bayview Heliport,132,US,US-MD,Baltimore,06MD,0,06MD,"-76.54630279541016, 39.29140090942383"
401,06ME,heliport,Barker Heliport,649,US,US-ME,Bethel,06ME,0,06ME,"-70.844275, 44.415247"
402,06MI,heliport,W A Foote Memorial Hospital Heliport,978,US,US-MI,Jackson,06MI,0,06MI,"-84.39140319824219, 42.2510986328125"
403,06MN,small_airport,Pike Field Airport,1463,US,US-MN,Virginia,06MN,0,06MN,"-92.41670227050001, 47.6519012451"
404,06MO,small_airport,Noahs Ark Airport,755,US,US-MO,Waldron,06MO,0,06MO,"-94.80439758300781, 39.23059844970703"
405,06MT,small_airport,Torgerson Airport,3541,US,US-MT,Ethridge,06MT,0,06MT,"-112.10900115966797, 48.55830001831055"
406,06N,small_airport,Randall Airport,523,US,US-NY,Middletown,06N,0,06N,"-74.3916015625, 41.43199920654297"
407,06NC,small_airport,Tailwinds Airport,163,US,US-NC,St. Pauls,06NC,0,06NC,"-78.9302978515625, 34.82749938964844"
408,06ND,small_airport,Fitterer's Strip,2180,US,US-ND,Glen Ullin,06ND,0,06ND,"-101.66899871826172, 46.7489013671875"
409,06NE,heliport,St Marys Hospital Heliport,1015,US,US-NE,Nebraska City,06NE,0,06NE,"-95.86170196533203, 40.68000030517578"
410,06NH,small_airport,Cole Farm Airport,160,US,US-NH,Kensington,06NH,0,06NH,"-70.97309875488281, 42.92839813232422"
411,06NJ,closed,Chemical Bank - New Jersey Na Heliport,25,US,US-NJ,Moorestown,0,0,0,"-74.999603, 39.950102"
412,06NV,small_airport,Silver Creek Airport,5556,US,US-NV,Baker,06NV,0,06NV,"-114.150277, 39.098333"
413,06NY,small_airport,Murphy Field,1100,US,US-NY,Auburn,06NY,0,06NY,"-76.44529724121094, 42.84280014038086"
414,06O1,heliport,Saint Elizabeth Medical Center Heliport,1020,US,US-OH,Youngstown,06O1,0,06O1,"-80.65699768066406, 41.11479949951172"
415,06OH,small_airport,Hal Joy Airfield,1160,US,US-OH,Williamsfield,06OH,0,06OH,"-80.59120178222656, 41.50979995727539"
416,06OI,small_airport,Green Acres Airport,915,US,US-OH,New Lebanon,06OI,0,06OI,"-84.3822021484375, 39.734798431396484"
417,06OK,heliport,Albert Lodge Heliport,900,US,US-OK,Grove,06OK,0,06OK,"-94.83360290527344, 36.54169845581055"
418,06OR,small_airport,Hayden Mountain Airport,850,US,US-OR,Forest Grove,06OR,0,06OR,"-123.08000183105469, 45.4650993347168"
419,06PA,small_airport,Freefall Oz Airport,1440,US,US-PA,Ceres,06PA,0,06PA,"-78.288152, 41.995792"
420,06PN,heliport,Schiavoni Heliport,727,US,US-PA,Harrisburg,06PN,0,06PN,"-76.772533, 40.382733"
421,06PS,heliport,Cherokee Island Castle Heliport,760,US,US-PA,West Homestead,06PS,0,06PS,"-79.92130279541016, 40.40230178833008"
422,06R,small_airport,Grawunder Field,289,US,US-TX,Bellville,06R,0,06R,"-96.24610137939453, 29.9419002532959"
423,06SN,small_airport,Beyer Farm Airport,1340,US,US-KS,Derby,06SN,0,06SN,"-97.25309753417969, 37.583900451660156"
424,06TA,small_airport,Glaser Field,480,US,US-TX,Buckholts,06TA,0,06TA,"-97.11689758300781, 30.90850067138672"
425,06TE,small_airport,Ainsworth Airport,129,US,US-TX,Cleveland,06TE,0,06TE,"-95.02690124511719, 30.312700271606445"
426,06TN,small_airport,Hunter STOLport,640,US,US-TN,Columbia,06TN,0,06TN,"-86.95690155029297, 35.69729995727539"
427,06TS,closed,Roscoe Mc Connico Airport,350,US,US-TX,Kerens,0,0,0,"-96.179101, 32.120701"
428,06TX,small_airport,Diamond N Ranch Airport,215,US,US-TX,Hockley,06TX,0,06TX,"-95.81289672851562, 30.057600021362305"
429,06VA,small_airport,Mount Horeb Field,1160,US,US-VA,Grottoes,06VA,0,06VA,"-78.85530090332031, 38.249000549316406"
430,06WA,heliport,N A Degerstrom Yard Heliport,2013,US,US-WA,Spokane,06WA,0,06WA,"-117.197998046875, 47.68629837036133"
431,06WI,small_airport,Young Private Airport,1075,US,US-WI,Frederic,06WI,0,06WI,"-92.45020294189453, 45.66270065307617"
432,06WN,small_airport,Western Airpark,394,US,US-WA,Yelm,06WN,0,06WN,"-122.5530014038086, 46.92499923706055"
433,06XS,small_airport,Campbell Field,546,US,US-TX,Aubrey,06XS,0,06XS,"-97.04419708251953, 33.32469940185547"
434,06Y,small_airport,Herman Municipal Airport,1068,US,US-MN,Herman,06Y,0,06Y,"-96.16059875488281, 45.83000183105469"
435,07AA,small_airport,Pan Lake Strip Airport,357,US,US-AK,Willow,07AA,0,07AA,"-149.9549028, 61.6959639"
436,07AL,heliport,Tac X Stagefield Army Heliport,132,US,US-AL,Fort Rucker/Samson,07AL,0,07AL,"-85.9791030883789, 31.125200271606445"
437,07AR,small_airport,Morrilton Airport,300,US,US-AR,Morrilton,07AR,0,07AR,"-92.80020141601562, 35.19449996948242"
438,07AZ,closed,John C Lincoln Hospital Heliport,1255,US,US-AZ,Phoenix,07AZ,0,07AZ,"-112.06900024414062, 33.56669998168945"
439,07B,small_airport,Blue Hill Airport,360,US,US-ME,Blue Hill,07B,0,07B,"-68.5697021484375, 44.448001861572266"
440,07CA,heliport,West Side Hospital Heliport,850,US,US-CA,Taft,07CA,0,07CA,"-119.45099639892578, 35.13890075683594"
441,07CL,small_airport,Richvale Airport,100,US,US-CA,Richvale,07CL,0,07CL,"-121.77100372314453, 39.49769973754883"
442,07CO,small_airport,Comanche Creek Airport,6620,US,US-CO,Kiowa,07CO,0,07CO,"-104.427001953125, 39.26359939575195"
443,07CT,closed,TNT Heliport,430,US,US-CT,Salem,0,0,0,"-72.249603, 41.4529"
